127;ableJ;23;Zowie EC1-B Divina Edition;800;0.9;1280x960
128;friberg;24;Zowie EC2-B;800;1.1;1280x960
129;MODDII;24;Zowie EC1-A;400;2.2;800x600
130;es3tag;24;Zowie ZA12;800;1.44;1280x960
131;AcilioN;24;Zowie EC2-A White Edition;400;2.2;1680x1050
132;mertz;24;Zowie FK1;400;2.4;1024x768
133;blameF;24;SteelSeries Rival 310;400;1.45;1280x960
134;kaze;25;Zowie EC1-A;1,6;0.4;1280x960
135;freeman;25;Zowie FK1+;400;2.2;1024x768
136;COLDYY1;26;Zowie EC1-A;400;1.75;1024x768
137;S0TF1k;26;Zowie EC2-A;800;0.95;1280x960
138;somedieyoung;26;Zowie EC2-B;800;1;1280x1024
139;chopper;26;Zowie ZA13;400;1.4;1024x768
140;DickStacy;27;Zowie EC2-B;800;1.5;1280x960
141;dexter;27;Zowie ZA12;1,6;0.65;1280x960
142;sterling;27;Zowie EC2-A;400;2.2;1024x768
143;malta;27;Zowie EC2-B CS:GO Edition;400;2;1440x1080
144;erkaSt;27;Zowie ZA12;400;1.9;1024x768
145;n0thing;28;Logitech G100s Custom;400;1.7;1024x768
146;ShahZaM;28;Zowie EC2-B Divina Edition;400;1.7;1024x768
147;stanislaw;28;Razer Lancehead TE;400;2.5;1024x768
148;Rickeh;28;Logitech G400s;800;0.9;1680x1050
149;dephh;28;Logitech G403 Wireless;450;2;1024x768
150;ANDROID;28;Zowie FK2;800;1;1024x768
151;cajunb;29;Zowie EC1-A;400;1.8;1024x768
152;k0nfig;29;Zowie EC2-A;400;2.2;1024x768
153;JUGi;29;Zowie EC2-B;800;0.8;1680x1050
154;Snappi;29;Zowie EC2-A;400;2.3;1280x960
155;refrezh;29;Zowie FK1;400;1.9;1024x768
156;ScreaM;30;FinalMouse Classic Ergo 2;400;2.5;800x600
157;Ex6TenZ;30;Zowie FK2;400;2.2;1024x768
158;HS;30;Logitech G Pro Wireless;400;2.4;1600x900
159;Hampus;30;Razer DeathAdder Elite;450;1.67;1280x800
160;Spiidi;31;Zowie EC1-A;400;1.6;1024x768
161;denis;31;Zowie ZA12;400;1.93;1024x768
162;sycrone;31;Zowie EC1-A;400;1.8;1024x768
163;DEVIL;32;SteelSeries Sensei Raw;400;1.43;1024x768
164;hAdji;32;Logitech G403 Wireless;400;2;1024x768
165;destinyy;33;Logitech G Pro Wireless;400;2.21;1680x1050
